Date,Stationary1,Stationary2,Stationary3,Stationary4,Stationary5,Stationary6,Stationary7,Stationary8,Stationary9,Stationary10
2/28/2023,1357.794863,12.82980004,1322.973637,827.4200629,12.21689391,1288.527056,1167.598018,1229.970416,3884.80362,1332.099619
3/1/2023,1357.857838,13.21810861,1322.957353,827.6334132,12.84017294,1288.607335,1167.889322,1229.92755,3884.382353,1332.205645
3/2/2023,1357.523389,12.80831285,1322.641921,827.3740721,12.12627905,1288.202226,1167.473972,1229.670067,3884.52157,1331.951019
3/3/2023,1357.80831,13.4196903,1322.697667,827.4220526,12.7105842,1288.303797,1167.502999,1229.853355,3884.512176,1332.030327
3/4/2023,1357.869301,13.46448228,1322.929846,827.7367821,14.97396305,1288.466998,1167.67541,1229.928052,3884.608413,1332.123965
3/5/2023,1357.930433,13.17578617,1323.034409,827.4353906,12.62520638,1288.58535,1167.58814,1229.925343,3884.132606,1332.256729
3/6/2023,1358.011218,13.3024308,1323.065099,827.7418995,12.84194398,1289.016473,1167.655433,1229.94647,3884.510012,1332.311493
3/7/2023,1357.90609,13.45256976,1322.946116,827.6583628,13.30022464,1288.857213,1167.551543,1229.896776,3884.262414,1332.264175
3/8/2023,1357.939129,13.09322642,1322.864966,827.5320343,12.99360343,1288.76129,1167.511492,1229.855368,3884.543391,1332.282926
3/9/2023,1357.671533,12.86458492,1322.618499,827.4440199,12.06185734,1288.498876,1167.252853,1229.658102,3884.277865,1332.131739
3/10/2023,1357.867901,13.21892042,1322.874628,827.7388547,14.69008704,1288.882479,1167.439522,1229.772031,3884.318616,1332.207804
3/11/2023,1357.869937,12.95938137,1322.770576,827.6622638,13.3881131,1288.77256,1167.377391,1229.76179,3884.474762,1332.246906
3/12/2023,1357.475845,12.04239076,1322.301142,827.3008207,11.28083622,1288.327027,1166.897958,1229.592712,3884.709048,1331.993432
3/13/2023,1357.414199,11.96549279,1322.27571,827.0894663,11.22800605,1288.280548,1166.830726,1229.587604,3884.555392,1331.879401
3/14/2023,1357.572641,12.11743192,1322.341804,827.1536809,12.27780535,1288.376214,1166.973147,1229.61765,3884.496208,1331.945835
3/15/2023,1357.569043,12.07717005,1322.344124,827.1189355,11.14348493,1288.341523,1167.15119,1229.56144,3884.743393,1331.958324
3/16/2023,1358.48273,12.08401038,1323.263144,827.1086287,13.72781097,1289.217309,1167.861209,1230.399625,3886.488305,1332.81145
3/17/2023,1358.134991,12.30094182,1322.686554,827.2927151,13.82658127,1288.637696,1167.43932,1229.891891,3885.185697,1332.275847
3/18/2023,1358.317845,13.31741953,1322.849061,827.8104188,14.77514544,1288.754252,1167.60773,1229.911402,3884.76985,1332.398249
3/19/2023,1357.829068,12.82726282,1322.476192,827.4897702,12.43442165,1288.42741,1167.245142,1229.632643,3884.31393,1332.282301
3/20/2023,1358.127539,13.29430914,1322.750604,827.7898786,14.06077541,1289.379768,1167.477213,1229.836106,3884.568373,1332.495842
3/21/2023,1358.107571,13.39447238,1322.72247,827.7376731,13.48029741,1289.296618,1167.490142,1229.779608,3884.403174,1332.451849
3/22/2023,1358.096539,13.16886627,1322.846151,827.7009197,13.02910475,1289.553938,1167.808539,1229.738421,3884.547773,1332.503241
3/23/2023,1358.082419,13.40372218,1323.011743,827.9947879,14.68142455,1289.581406,1168.000922,1229.836564,3884.807266,1332.458592
3/24/2023,1357.849067,13.09863412,1322.968835,827.7366104,13.03956613,1289.238107,1167.706549,1229.682747,3884.556637,1332.283823
3/25/2023,1357.756474,13.03151891,1322.78177,827.7389061,13.80117808,1289.134796,1167.524813,1229.690348,3884.602985,1332.16616
3/26/2023,1357.70945,12.87566178,1322.67439,827.7220081,11.92127574,1289.079854,1167.501511,1229.636757,3884.566891,1332.283849
3/27/2023,1357.400511,12.42260804,1322.297147,827.5058716,12.2616919,1288.568946,1167.280326,1229.431628,3884.381614,1332.056217
3/28/2023,1357.436961,12.40812034,1322.285021,827.64624,11.0720818,1288.579801,1167.253461,1229.502412,3884.898361,1332.129145
3/29/2023,1357.466813,12.61942045,1322.336881,827.7211129,12.83290554,1288.660688,1167.338086,1229.446811,3884.561248,1332.171857
3/30/2023,1357.529918,12.55140227,1322.337174,827.6429224,12.19900242,1288.679093,1167.335115,1229.568544,3884.674659,1332.285942
3/31/2023,1357.330892,12.39715157,1322.112527,827.3565404,11.07350565,1288.426226,1167.1657,1229.517214,3884.320481,1332.195784
4/1/2023,1357.425708,12.62951192,1322.255321,827.8272804,12.39896833,1288.589291,1167.264293,1229.592759,3884.710614,1332.337871
4/2/2023,1357.214788,12.48156286,1322.113365,827.8797543,12.65365413,1288.328609,1167.105162,1229.445612,3884.814146,1332.204743
4/3/2023,1357.12462,11.89481819,1321.943448,827.2991992,11.29782153,1288.067897,1167.006306,1229.457892,3884.383415,1331.992074
4/4/2023,1357.057941,11.74433261,1321.838724,827.3289002,11.44203491,1287.973006,1166.941719,1229.424627,3884.489825,1331.998505
4/5/2023,1357.05686,11.78517137,1321.83914,827.2870649,11.61642831,1288.026849,1166.935873,1229.329791,3884.415299,1331.975606
4/6/2023,1356.8408,11.78408825,1321.796255,827.2529515,11.37810404,1287.850153,1166.75995,1229.254908,3884.101915,1331.865424
